Atoms,CSP3,Carbon,FormalCharge,Formula,HBA,HBD,HeavyAtoms,Heteroatoms,MR,MW,NAME,NHOH,NO,Rings,RotBonds,TPSA,WlogP
65,0.68,25,0,C25H34O6,6,3,31,6,114.67,430.24,DB05013,3,6,4,3,104.06,2.33
61,0.75,24,0,C24H29Cl2FO5,5,1,32,8,117.26,486.14,DB08973,1,5,5,2,72.83,3.88
75,0.43,23,0,C23H30N12O8S2,16,7,45,22,156.81,666.18,DB09050,10,20,4,12,355.75,-3.9
55,0.83,12,0,C12H26MgO16,14,10,29,17,85.22,450.11,DB13749,14,16,0,10,345.56,-11.69
70,0.7,27,0,C27H36O7,7,1,34,7,123.31,472.25,DB14643,1,7,4,5,106.97,3.34
68,0.69,26,0,C26H34O8,7,3,34,8,120.34,474.23,DB14644,3,8,4,6,138.2,2.22
62,0.71,24,0,C24H31FO6,6,2,31,7,109.42,434.21,DB14657,2,6,4,3,100.9,2.32
98,0.43,37,0,C37H48N6O5S2,9,4,50,13,196.9,720.31,DB00503,4,11,4,17,202.26,5.91
81,0.52,29,0,C29H39N5O8,11,7,42,13,154.39,585.28,DB00560,8,13,4,6,205.76,0.51
62,0.75,24,0,C24H30F2O6,6,2,32,8,108.88,452.2,DB00591,2,6,5,2,93.06,2.37
74,0.9,21,0,C21H41N5O7,12,8,33,12,119.63,475.3,DB00955,11,12,3,8,199.73,-3.2
68,0.44,27,0,C27H29NO11,12,6,39,12,131.75,543.17,DB00997,7,12,5,5,206.07,0.0
65,0.35,26,0,C26H25F3N6O5,8,4,40,14,136.55,558.18,DB09335,5,11,5,7,159.65,0.9
68,0.44,27,0,C27H29NO11,12,6,39,12,131.75,543.17,DB00445,7,12,5,5,206.07,0.0
67,0.44,27,0,C27H29NO10,11,5,38,11,130.34,527.18,DB00694,6,11,5,4,185.84,1.03
63,0.83,24,0,C24H32ClFO5,5,1,31,7,112.33,454.19,DB06786,1,5,5,2,72.83,3.89
76,0.55,31,0,C31H38O7,7,0,38,7,140.87,522.26,DB11260,0,7,4,4,95.97,5.24
102,0.53,36,0,C36H53N7O6,8,7,49,13,186.79,679.41,DB11938,10,13,3,18,222.97,0.83
62,0.75,24,0,C24H31FO6,6,2,31,7,108.53,434.21,DB00180,2,6,5,2,93.06,2.27
65,0.72,25,0,C25H31F3O5S,6,1,34,9,120.87,500.18,DB00588,1,5,4,4,105.97,4.43
64,0.72,25,0,C25H32ClFO5,5,1,32,7,117.74,466.19,DB01013,1,5,4,4,80.67,4.1
77,0.74,27,0,C27H42N2O5S,7,3,35,8,137.93,506.28,DB04845,3,7,3,2,140.29,4.05
64,0.27,22,0,C22H21N8O8PS4,14,4,43,21,155.38,684.01,DB06590,4,16,5,11,340.13,-0.12
70,0.7,27,0,C27H34F2O7,7,1,36,9,124.0,508.23,DB06781,1,7,4,6,106.97,3.52
98,0.45,40,0,C40H56O2,2,2,42,2,184.17,568.43,DB11176,2,2,2,10,40.46,10.55
80,0.55,29,0,C29H40N4O7,10,6,40,11,149.16,556.29,DB12455,7,11,4,6,176.66,1.32
56,0.73,22,0,C22H27ClF2O4,4,2,29,7,103.86,428.16,DB00596,2,4,4,2,74.6,3.09
64,0.83,24,0,C24H33FO6,6,2,31,7,108.62,436.23,DB00846,2,6,5,2,93.06,2.5
69,0.96,24,0,C24H40O5,4,4,29,5,110.04,408.29,DB02659,4,5,4,4,97.99,3.45
74,0.96,26,0,C26H44O4,3,3,30,4,117.81,420.32,DB05990,3,4,4,5,77.76,5.11
107,0.47,40,0,C40H53N7O5S2,10,3,54,14,212.55,775.35,DB09065,3,12,5,19,194.5,6.0
49,0.83,12,0,C12H22CaO14,14,10,27,15,77.99,430.06,DB11126,10,14,0,10,282.56,-10.04
49,0.83,12,0,C12H22MnO14,14,10,27,15,72.24,445.04,DB11141,10,14,0,10,282.56,-9.66
49,0.83,12,0,C12H22CuO14,14,10,27,15,72.24,453.03,DB11246,10,14,0,10,282.56,-9.66
49,0.83,12,0,C12H22O14Zn,14,10,27,15,72.24,454.03,DB11248,10,14,0,10,282.56,-9.66
76,0.47,32,0,C32H34N4O6,9,4,42,10,150.73,570.25,DB11691,4,10,8,6,141.18,3.48
82,0.83,24,0,C24H44BCuF4N4O4,4,0,38,14,140.41,602.27,DB14106,0,8,0,8,54.36,6.62
49,0.83,12,0,C12H22FeO14,14,10,27,15,72.24,446.04,DB14488,10,14,0,10,282.56,-9.66
57,0.73,22,0,C22H28F2O5,5,3,29,7,100.22,410.19,DB00223,3,5,4,2,94.83,1.84
62,0.75,24,0,C24H32O6,6,2,30,6,108.25,416.22,DB01260,2,6,5,2,93.06,2.33
71,0.52,27,0,C27H33N3O8,10,6,38,11,134.16,527.23,DB01301,6,11,5,4,170.87,0.47
86,0.29,35,1,C35H35F2N8O5S+,12,2,51,16,180.91,717.24,DB06636,2,13,5,13,187.61,4.58
71,0.48,27,0,C27H31FN4O8,10,6,40,13,137.94,558.21,DB12329,7,12,5,5,193.73,0.29
62,0.71,24,0,C24H31FO6,6,2,31,7,109.49,434.21,DB14649,2,6,4,3,100.9,2.47
62,0.73,22,0,C22H30FO8P,6,4,32,10,110.85,472.17,DB14669,4,8,4,4,151.17,2.01
77,0.48,27,0,C27H35N6O8P,13,4,42,15,149.83,602.23,DB14761,5,14,4,13,213.36,2.31
67,0.78,23,0,C23H32F3N5O4,5,3,35,12,116.98,499.24,DB16691,3,9,3,6,131.4,1.1
89,0.61,28,0,C28H46N6O8S,10,9,43,15,163.08,626.31,DB00895,12,14,2,17,285.49,-0.17
88,0.81,32,0,C32H47F5O3S,3,2,41,9,152.65,606.32,DB00947,2,3,4,14,76.74,8.68
71,0.7,27,0,C27H36O8,8,1,35,8,125.1,488.24,DB01130,1,8,4,6,116.2,3.7
63,0.42,26,0,C26H27NO9,10,5,36,10,123.79,497.17,DB01177,6,10,5,3,176.61,1.02
65,0.76,25,0,C25H34O6,6,2,31,6,112.87,430.24,DB01222,2,6,5,4,93.06,2.72
101,0.33,43,0,C43H48N2O6S2,6,1,53,10,216.04,752.3,DB09374,1,8,6,14,134.58,8.71
75,0.79,28,0,C28H40O7,7,1,35,7,128.09,488.28,DB14543,1,7,4,7,106.97,4.09
71,0.74,27,0,C27H38O6,6,2,33,6,122.99,458.27,DB14632,2,6,4,4,100.9,3.54
104,0.55,40,1,C40H56N3O4S+,6,1,48,8,194.38,674.4,DB16226,1,7,7,13,78.46,6.62
92,0.47,36,0,C36H47N5O4,7,4,45,9,174.07,613.36,DB00224,4,9,5,11,118.03,2.87
67,0.63,27,0,C27H30F6N2O2,2,2,37,10,124.02,528.22,DB01126,2,4,5,2,58.2,6.58
71,0.4,25,0,C25H27N9O8S2,13,4,44,19,152.55,645.14,DB01329,4,17,5,9,270.86,-1.11
69,0.48,29,0,C29H33FN2O4,5,1,36,7,134.08,492.24,DB09030,1,6,5,5,77.52,5.63
99,0.43,37,0,C37H48N4O8S2,9,5,51,14,198.12,740.29,DB16261,5,12,4,17,208.05,5.88
79,0.85,26,0,C26H44O9,8,4,35,9,128.65,500.3,DB00410,4,9,2,16,146.05,2.59
57,0.83,24,0,C24H30O3,3,0,27,3,99.49,366.22,DB01395,0,3,7,0,43.37,4.31
68,0.96,24,0,C24H40O4,3,3,28,4,108.65,392.29,DB01586,3,4,4,4,77.76,4.48
58,0.71,24,0,C24H29ClO4,4,0,29,5,108.95,416.18,DB04839,0,4,5,2,60.44,4.61
73,0.26,35,0,C35H30N4O4,6,1,43,8,165.12,570.23,DB06595,1,8,9,3,77.73,5.91
68,0.96,24,0,C24H40O4,3,3,28,4,108.65,392.29,DB06777,3,4,4,4,77.76,4.48
39,0.5,12,0,C12H10Ca3O14,14,2,29,17,75.67,497.89,DB11093,2,14,0,10,281.24,-11.65
